"indicateurs","zones","regions","Unit","Date","Value"
"Population résidente par zone","Urban","Dakar","","1981","1103407"
"Population résidente par zone","Urban","Dakar","","1982","1145788"
"Population résidente par zone","Urban","Dakar","","1983","1189797"
"Population résidente par zone","Urban","Dakar","","1984","1235496"
"Population résidente par zone","Urban","Dakar","","1985","1282951"
"Population résidente par zone","Urban","Dakar","","1986","1332228"
"Population résidente par zone","Urban","Dakar","","1987","1383398"
"Population résidente par zone","Urban","Dakar","","1988","1436533"
"Population résidente par zone","Urban","Dakar","","1989","1483437"
"Population résidente par zone","Urban","Dakar","","1990","1524013"
"Population résidente par zone","Urban","Dakar","","1991","1565699"
"Population résidente par zone","Urban","Dakar","","1992","1608525"
"Population résidente par zone","Urban","Dakar","","1993","1652523"
"Population résidente par zone","Urban","Dakar","","1994","1697724"
"Population résidente par zone","Urban","Dakar","","1995","1744161"
"Population résidente par zone","Urban","Dakar","","1996","1791869"
"Population résidente par zone","Urban","Dakar","","1997","1840882"
"Population résidente par zone","Urban","Dakar","","1998","1891235"
"Population résidente par zone","Urban","Dakar","","1999","1942965"
"Population résidente par zone","Urban","Dakar","","2000","1996110"
"Population résidente par zone","Urban","Dakar","","2001","2050709"
"Population résidente par zone","Urban","Dakar","","2002","2106801"
"Population résidente par zone","Urban","Dakar","","2003","2188900"
"Population résidente par zone","Urban","Dakar","","2004","2260970"
"Population résidente par zone","Urban","Dakar","","2005","2335413"
"Population résidente par zone","Urban","Dakar","","2006","2412307"
"Population résidente par zone","Urban","Dakar","","2007","2491732"
"Population résidente par zone","Urban","Dakar","","2008","2573772"
"Population résidente par zone","Urban","Dakar","","2009","2658514"
"Population résidente par zone","Urban","Dakar","","2010","2746046"
"Population résidente par zone","Urban","Dakar","","2011","2836460"
"Population résidente par zone","Urban","Dakar","","2012","2929851"
"Population résidente par zone","Urban","Dakar","","2013","3026316"
"Population résidente par zone","Urban","Dakar","","2014","3117055"
"Population résidente par zone","Urban","Dakar","","2015","3210787"
"Population résidente par zone","Urban","Dakar","","2016","3305913"
"Population résidente par zone","Urban","Dakar","","2017","3402246"
"Population résidente par zone","Urban","Dakar","","2018","3499631"
"Population résidente par zone","Urban","Diourbel","","1970","69680"
"Population résidente par zone","Urban","Diourbel","","1971","72816"
"Population résidente par zone","Urban","Diourbel","","1972","76093"
"Population résidente par zone","Urban","Diourbel","","1973","79517"
"Population résidente par zone","Urban","Diourbel","","1974","83095"
"Population résidente par zone","Urban","Diourbel","","1975","86834"
"Population résidente par zone","Urban","Diourbel","","1976","88979"
"Population résidente par zone","Urban","Diourbel","","1977","92601"
"Population résidente par zone","Urban","Diourbel","","1978","95728"
"Population résidente par zone","Urban","Diourbel","","1979","98961"
"Population résidente par zone","Urban","Diourbel","","1980","102303"
"Population résidente par zone","Urban","Diourbel","","1981","105758"
"Population résidente par zone","Urban","Diourbel","","1982","109330"
"Population résidente par zone","Urban","Diourbel","","1983","113022"
"Population résidente par zone","Urban","Diourbel","","1984","116839"
"Population résidente par zone","Urban","Diourbel","","1985","120785"
"Population résidente par zone","Urban","Diourbel","","1986","124864"
"Population résidente par zone","Urban","Diourbel","","1987","129081"
"Population résidente par zone","Urban","Diourbel","","1988","133440"
"Population résidente par zone","Urban","Diourbel","","1989","135852"
"Population résidente par zone","Urban","Diourbel","","1990","138055"
"Population résidente par zone","Urban","Diourbel","","1991","140294"
"Population résidente par zone","Urban","Diourbel","","1992","142569"
"Population résidente par zone","Urban","Diourbel","","1993","144881"
"Population résidente par zone","Urban","Diourbel","","1994","147231"
"Population résidente par zone","Urban","Diourbel","","1995","149619"
"Population résidente par zone","Urban","Diourbel","","1996","152046"
"Population résidente par zone","Urban","Diourbel","","1997","154512"
"Population résidente par zone","Urban","Diourbel","","1998","157018"
"Population résidente par zone","Urban","Diourbel","","1999","159565"
"Population résidente par zone","Urban","Diourbel","","2000","162153"
"Population résidente par zone","Urban","Diourbel","","2001","164783"
"Population résidente par zone","Urban","Diourbel","","2002","167456"
"Population résidente par zone","Urban","Diourbel","","2003","173923"
"Population résidente par zone","Urban","Diourbel","","2004","179605"
"Population résidente par zone","Urban","Diourbel","","2005","185473"
"Population résidente par zone","Urban","Diourbel","","2006","191533"
"Population résidente par zone","Urban","Diourbel","","2007","197790"
"Population résidente par zone","Urban","Diourbel","","2008","204252"
"Population résidente par zone","Urban","Diourbel","","2009","210925"
"Population résidente par zone","Urban","Diourbel","","2010","217816"
"Population résidente par zone","Urban","Diourbel","","2011","224932"
"Population résidente par zone","Urban","Diourbel","","2012","232281"
"Population résidente par zone","Urban","Diourbel","","2013","239869"
"Population résidente par zone","Urban","Diourbel","","2014","248527"
"Population résidente par zone","Urban","Diourbel","","2015","256246"
"Population résidente par zone","Urban","Diourbel","","2016","265898"
"Population résidente par zone","Urban","Diourbel","","2017","274260"
"Population résidente par zone","Urban","Diourbel","","2018","282931"
"Population résidente par zone","Urban","Fatick","","1970","28806.0728300289"
"Population résidente par zone","Urban","Fatick","","1971","30102.3461073802"
"Population résidente par zone","Urban","Fatick","","1972","31456.9516822123"
"Population résidente par zone","Urban","Fatick","","1973","32872.5145079118"
"Population résidente par zone","Urban","Fatick","","1974","34351.7776607678"
"Population résidente par zone","Urban","Fatick","","1975","35897.6076555024"
"Population résidente par zone","Urban","Fatick","","1976","36784"
"Population résidente par zone","Urban","Fatick","","1977","38197"
"Population résidente par zone","Urban","Fatick","","1978","39424"
"Population résidente par zone","Urban","Fatick","","1979","40691"
"Population résidente par zone","Urban","Fatick","","1980","41998"
"Population résidente par zone","Urban","Fatick","","1981","43347"
"Population résidente par zone","Urban","Fatick","","1982","44740"
"Population résidente par zone","Urban","Fatick","","1983","46178"
"Population résidente par zone","Urban","Fatick","","1984","47662"
"Population résidente par zone","Urban","Fatick","","1985","49194"
"Population résidente par zone","Urban","Fatick","","1986","50775"
"Population résidente par zone","Urban","Fatick","","1987","52406"
"Population résidente par zone","Urban","Fatick","","1988","54090"
"Population résidente par zone","Urban","Fatick","","1989","55721"
"Population résidente par zone","Urban","Fatick","","1990","57143"
"Population résidente par zone","Urban","Fatick","","1991","58601"
"Population résidente par zone","Urban","Fatick","","1992","60097"
"Population résidente par zone","Urban","Fatick","","1993","61631"
"Population résidente par zone","Urban","Fatick","","1994","63204"
"Population résidente par zone","Urban","Fatick","","1995","64817"
"Population résidente par zone","Urban","Fatick","","1996","66471"
"Population résidente par zone","Urban","Fatick","","1997","68167"
"Population résidente par zone","Urban","Fatick","","1998","69907"
"Population résidente par zone","Urban","Fatick","","1999","71691"
"Population résidente par zone","Urban","Fatick","","2000","73521"
"Population résidente par zone","Urban","Fatick","","2001","75397"
"Population résidente par zone","Urban","Fatick","","2002","77321"
"Population résidente par zone","Urban","Fatick","","2003","80285"
"Population résidente par zone","Urban","Fatick","","2004","82890"
"Population résidente par zone","Urban","Fatick","","2005","85580"
"Population résidente par zone","Urban","Fatick","","2006","88357"
"Population résidente par zone","Urban","Fatick","","2007","91224"
"Population résidente par zone","Urban","Fatick","","2008","94184"
"Population résidente par zone","Urban","Fatick","","2009","97240"
"Population résidente par zone","Urban","Fatick","","2010","100395"
"Population résidente par zone","Urban","Fatick","","2011","103653"
"Population résidente par zone","Urban","Fatick","","2012","107016"
"Population résidente par zone","Urban","Fatick","","2013","110489"
"Population résidente par zone","Urban","Fatick","","2014","120210"
"Population résidente par zone","Urban","Fatick","","2015","125682"
"Population résidente par zone","Urban","Fatick","","2016","131436"
"Population résidente par zone","Urban","Fatick","","2017","137489"
"Population résidente par zone","Urban","Fatick","","2018","143861"
"Population résidente par zone","Urban","Kaffrine","","2008","63432"
"Population résidente par zone","Urban","Kaffrine","","2009","67394"
"Population résidente par zone","Urban","Kaffrine","","2010","71604"
"Population résidente par zone","Urban","Kaffrine","","2011","76076"
"Population résidente par zone","Urban","Kaffrine","","2012","80828"
"Population résidente par zone","Urban","Kaffrine","","2013","85877"
"Population résidente par zone","Urban","Kaffrine","","2014","95247"
"Population résidente par zone","Urban","Kaffrine","","2015","101200"
"Population résidente par zone","Urban","Kaffrine","","2016","107444"
"Population résidente par zone","Urban","Kaffrine","","2017","113991"
"Population résidente par zone","Urban","Kaffrine","","2018","120854"
"Population résidente par zone","Urban","Kaolack","","1970","96728"
"Population résidente par zone","Urban","Kaolack","","1971","101081"
"Population résidente par zone","Urban","Kaolack","","1972","105629"
"Population résidente par zone","Urban","Kaolack","","1973","110383"
"Population résidente par zone","Urban","Kaolack","","1974","115350"
"Population résidente par zone","Urban","Kaolack","","1975","120541"
"Population résidente par zone","Urban","Kaolack","","1976","123518"
"Population résidente par zone","Urban","Kaolack","","1977","128648"
"Population résidente par zone","Urban","Kaolack","","1978","133066"
"Population résidente par zone","Urban","Kaolack","","1979","137636"
"Population résidente par zone","Urban","Kaolack","","1980","142363"
"Population résidente par zone","Urban","Kaolack","","1981","147252"
"Population résidente par zone","Urban","Kaolack","","1982","152309"
"Population résidente par zone","Urban","Kaolack","","1983","157540"
"Population résidente par zone","Urban","Kaolack","","1984","162951"
"Population résidente par zone","Urban","Kaolack","","1985","168548"
"Population résidente par zone","Urban","Kaolack","","1986","174337"
"Population résidente par zone","Urban","Kaolack","","1987","180325"
"Population résidente par zone","Urban","Kaolack","","1988","186518"
"Population résidente par zone","Urban","Kaolack","","1989","190980"
"Population résidente par zone","Urban","Kaolack","","1990","194963"
"Population résidente par zone","Urban","Kaolack","","1991","199029"
"Population résidente par zone","Urban","Kaolack","","1992","203180"
"Population résidente par zone","Urban","Kaolack","","1993","207417"
"Population résidente par zone","Urban","Kaolack","","1994","211743"
"Population résidente par zone","Urban","Kaolack","","1995","216159"
"Population résidente par zone","Urban","Kaolack","","1996","220667"
"Population résidente par zone","Urban","Kaolack","","1997","225269"
"Population résidente par zone","Urban","Kaolack","","1998","229967"
"Population résidente par zone","Urban","Kaolack","","1999","234763"
"Population résidente par zone","Urban","Kaolack","","2000","239659"
"Population résidente par zone","Urban","Kaolack","","2001","244657"
"Population résidente par zone","Urban","Kaolack","","2002","249759"
"Population résidente par zone","Urban","Kaolack","","2003","257745"
"Population résidente par zone","Urban","Kaolack","","2004","264887"
"Population résidente par zone","Urban","Kaolack","","2005","272227"
"Population résidente par zone","Urban","Kaolack","","2006","279770"
"Population résidente par zone","Urban","Kaolack","","2007","287522"
"Population résidente par zone","Urban","Kaolack","","2008","295489"
"Population résidente par zone","Urban","Kaolack","","2009","303677"
"Population résidente par zone","Urban","Kaolack","","2010","312091"
"Population résidente par zone","Urban","Kaolack","","2011","320739"
"Population résidente par zone","Urban","Kaolack","","2012","329626"
"Population résidente par zone","Urban","Kaolack","","2013","338760"
"Population résidente par zone","Urban","Kaolack","","2014","355678"
"Population résidente par zone","Urban","Kaolack","","2015","370861"
"Population résidente par zone","Urban","Kaolack","","2016","386648"
"Population résidente par zone","Urban","Kaolack","","2017","403078"
"Population résidente par zone","Urban","Kaolack","","2018","420151"
"Population résidente par zone","Urban","Kédougou","","2008","20795"
"Population résidente par zone","Urban","Kédougou","","2009","23401"
"Population résidente par zone","Urban","Kédougou","","2010","26334"
"Population résidente par zone","Urban","Kédougou","","2011","29634"
"Population résidente par zone","Urban","Kédougou","","2012","33348"
"Population résidente par zone","Urban","Kédougou","","2013","37528"
"Population résidente par zone","Urban","Kédougou","","2014","40651"
"Population résidente par zone","Urban","Kédougou","","2015","42322"
"Population résidente par zone","Urban","Kédougou","","2016","44230"
"Population résidente par zone","Urban","Kédougou","","2017","46225"
"Population résidente par zone","Urban","Kédougou","","2018","48133"
"Population résidente par zone","Urban","Kolda","","1970","29004.9578262429"
"Population résidente par zone","Urban","Kolda","","1971","30310.1809284238"
"Population résidente par zone","Urban","Kolda","","1972","31674.1390702029"
"Population résidente par zone","Urban","Kolda","","1973","33099.475328362"
"Population résidente par zone","Urban","Kolda","","1974","34588.9517181383"
"Population résidente par zone","Urban","Kolda","","1975","36145.4545454546"
"Population résidente par zone","Urban","Kolda","","1976","37038"
"Population résidente par zone","Urban","Kolda","","1977","39020"
"Population résidente par zone","Urban","Kolda","","1978","40678"
"Population résidente par zone","Urban","Kolda","","1979","42406"
"Population résidente par zone","Urban","Kolda","","1980","44207"
"Population résidente par zone","Urban","Kolda","","1981","46085"
"Population résidente par zone","Urban","Kolda","","1982","48043"
"Population résidente par zone","Urban","Kolda","","1983","50084"
"Population résidente par zone","Urban","Kolda","","1984","52212"
"Population résidente par zone","Urban","Kolda","","1985","54430"
"Population résidente par zone","Urban","Kolda","","1986","56742"
"Population résidente par zone","Urban","Kolda","","1987","59152"
"Population résidente par zone","Urban","Kolda","","1988","61665"
"Population résidente par zone","Urban","Kolda","","1989","64964"
"Population résidente par zone","Urban","Kolda","","1990","67648"
"Population résidente par zone","Urban","Kolda","","1991","70443"
"Population résidente par zone","Urban","Kolda","","1992","73354"
"Population résidente par zone","Urban","Kolda","","1993","76385"
"Population résidente par zone","Urban","Kolda","","1994","79541"
"Population résidente par zone","Urban","Kolda","","1995","82828"
"Population résidente par zone","Urban","Kolda","","1996","86250"
"Population résidente par zone","Urban","Kolda","","1997","89814"
"Population résidente par zone","Urban","Kolda","","1998","93525"
"Population résidente par zone","Urban","Kolda","","1999","97389"
"Population résidente par zone","Urban","Kolda","","2000","101413"
"Population résidente par zone","Urban","Kolda","","2001","105603"
"Population résidente par zone","Urban","Kolda","","2002","109966"
"Population résidente par zone","Urban","Kolda","","2003","115256"
"Population résidente par zone","Urban","Kolda","","2004","119798"
"Population résidente par zone","Urban","Kolda","","2005","124519"
"Population résidente par zone","Urban","Kolda","","2006","129426"
"Population résidente par zone","Urban","Kolda","","2007","134526"
"Population résidente par zone","Urban","Kolda","","2008","139827"
"Population résidente par zone","Urban","Kolda","","2009","145337"
"Population résidente par zone","Urban","Kolda","","2010","151064"
"Population résidente par zone","Urban","Kolda","","2011","157017"
"Population résidente par zone","Urban","Kolda","","2012","163205"
"Population résidente par zone","Urban","Kolda","","2013","169637"
"Population résidente par zone","Urban","Kolda","","2014","180912"
"Population résidente par zone","Urban","Kolda","","2015","190019"
"Population résidente par zone","Urban","Kolda","","2016","198839"
"Population résidente par zone","Urban","Kolda","","2017","208818"
"Population résidente par zone","Urban","Kolda","","2018","219268"
"Population résidente par zone","Urban","Louga","","1970","37686.0191474776"
"Population résidente par zone","Urban","Louga","","1971","39381.8900091141"
"Population résidente par zone","Urban","Louga","","1972","41154.0750595242"
"Population résidente par zone","Urban","Louga","","1973","43006.0084372028"
"Population résidente par zone","Urban","Louga","","1974","44941.2788168769"
"Population résidente par zone","Urban","Louga","","1975","46963.6363636364"
"Population résidente par zone","Urban","Louga","","1976","48124"
"Population résidente par zone","Urban","Louga","","1977","50140"
"Population résidente par zone","Urban","Louga","","1978","51875"
"Population résidente par zone","Urban","Louga","","1979","53670"
"Population résidente par zone","Urban","Louga","","1980","55527"
"Population résidente par zone","Urban","Louga","","1981","57448"
"Population résidente par zone","Urban","Louga","","1982","59435"
"Population résidente par zone","Urban","Louga","","1983","61491"
"Population résidente par zone","Urban","Louga","","1984","63618"
"Population résidente par zone","Urban","Louga","","1985","65819"
"Population résidente par zone","Urban","Louga","","1986","68096"
"Population résidente par zone","Urban","Louga","","1987","70452"
"Population résidente par zone","Urban","Louga","","1988","72889"
"Population résidente par zone","Urban","Louga","","1989","76432"
"Population résidente par zone","Urban","Louga","","1990","79352"
"Population résidente par zone","Urban","Louga","","1991","82384"
"Population résidente par zone","Urban","Louga","","1992","85532"
"Population résidente par zone","Urban","Louga","","1993","88800"
"Population résidente par zone","Urban","Louga","","1994","92193"
"Population résidente par zone","Urban","Louga","","1995","95716"
"Population résidente par zone","Urban","Louga","","1996","99373"
"Population résidente par zone","Urban","Louga","","1997","103170"
"Population résidente par zone","Urban","Louga","","1998","107112"
"Population résidente par zone","Urban","Louga","","1999","111205"
"Population résidente par zone","Urban","Louga","","2000","115454"
"Population résidente par zone","Urban","Louga","","2001","119865"
"Population résidente par zone","Urban","Louga","","2002","124445"
"Population résidente par zone","Urban","Louga","","2003","130236"
"Population résidente par zone","Urban","Louga","","2004","135226"
"Population résidente par zone","Urban","Louga","","2005","140407"
"Population résidente par zone","Urban","Louga","","2006","145787"
"Population résidente par zone","Urban","Louga","","2007","151373"
"Population résidente par zone","Urban","Louga","","2008","157173"
"Population résidente par zone","Urban","Louga","","2009","163195"
"Population résidente par zone","Urban","Louga","","2010","169448"
"Population résidente par zone","Urban","Louga","","2011","175941"
"Population résidente par zone","Urban","Louga","","2012","182682"
"Population résidente par zone","Urban","Louga","","2013","189682"
"Population résidente par zone","Urban","Louga","","2014","200417"
"Population résidente par zone","Urban","Louga","","2015","208836"
"Population résidente par zone","Urban","Louga","","2016","217573"
"Population résidente par zone","Urban","Louga","","2017","225660"
"Population résidente par zone","Urban","Louga","","2018","235030"
"Population résidente par zone","Urban","Matam","","2002","58284"
"Population résidente par zone","Urban","Matam","","2003","63521"
"Population résidente par zone","Urban","Matam","","2004","67681"
"Population résidente par zone","Urban","Matam","","2005","72113"
"Population résidente par zone","Urban","Matam","","2006","76836"
"Population résidente par zone","Urban","Matam","","2007","81868"
"Population résidente par zone","Urban","Matam","","2008","87229"
"Population résidente par zone","Urban","Matam","","2009","92941"
"Population résidente par zone","Urban","Matam","","2010","99027"
"Population résidente par zone","Urban","Matam","","2011","105512"
"Population résidente par zone","Urban","Matam","","2012","112422"
"Population résidente par zone","Urban","Matam","","2013","119784"
"Population résidente par zone","Urban","Matam","","2014","133856"
"Population résidente par zone","Urban","Matam","","2015","143306"
"Population résidente par zone","Urban","Matam","","2016","153892"
"Population résidente par zone","Urban","Matam","","2017","165055"
"Population résidente par zone","Urban","Matam","","2018","176142"
"Population résidente par zone","Urban","Saint-Louis","","1970","94238"
"Population résidente par zone","Urban","Saint-Louis","","1971","98478"
"Population résidente par zone","Urban","Saint-Louis","","1972","102910"
"Population résidente par zone","Urban","Saint-Louis","","1973","107541"
"Population résidente par zone","Urban","Saint-Louis","","1974","112380"
"Population résidente par zone","Urban","Saint-Louis","","1975","117437"
"Population résidente par zone","Urban","Saint-Louis","","1976","120963"
"Population résidente par zone","Urban","Saint-Louis","","1977","125696"
"Population résidente par zone","Urban","Saint-Louis","","1978","129799"
"Population résidente par zone","Urban","Saint-Louis","","1979","134036"
"Population résidente par zone","Urban","Saint-Louis","","1980","138411"
"Population résidente par zone","Urban","Saint-Louis","","1981","142929"
"Population résidente par zone","Urban","Saint-Louis","","1982","147595"
"Population résidente par zone","Urban","Saint-Louis","","1983","152413"
"Population résidente par zone","Urban","Saint-Louis","","1984","157388"
"Population résidente par zone","Urban","Saint-Louis","","1985","162525"
"Population résidente par zone","Urban","Saint-Louis","","1986","167830"
"Population résidente par zone","Urban","Saint-Louis","","1987","173308"
"Population résidente par zone","Urban","Saint-Louis","","1988","178965"
"Population résidente par zone","Urban","Saint-Louis","","1989","184314"
"Population résidente par zone","Urban","Saint-Louis","","1990","188986"
"Population résidente par zone","Urban","Saint-Louis","","1991","193776"
"Population résidente par zone","Urban","Saint-Louis","","1992","198688"
"Population résidente par zone","Urban","Saint-Louis","","1993","203724"
"Population résidente par zone","Urban","Saint-Louis","","1994","208888"
"Population résidente par zone","Urban","Saint-Louis","","1995","214183"
"Population résidente par zone","Urban","Saint-Louis","","1996","219612"
"Population résidente par zone","Urban","Saint-Louis","","1997","225178"
"Population résidente par zone","Urban","Saint-Louis","","1998","230885"
"Population résidente par zone","Urban","Saint-Louis","","1999","236737"
"Population résidente par zone","Urban","Saint-Louis","","2000","242737"
"Population résidente par zone","Urban","Saint-Louis","","2001","248890"
"Population résidente par zone","Urban","Saint-Louis","","2002","255199"
"Population résidente par zone","Urban","Saint-Louis","","2003","269027"
"Population résidente par zone","Urban","Saint-Louis","","2004","280744"
"Population résidente par zone","Urban","Saint-Louis","","2005","292971"
"Population résidente par zone","Urban","Saint-Louis","","2006","305730"
"Population résidente par zone","Urban","Saint-Louis","","2007","319045"
"Population résidente par zone","Urban","Saint-Louis","","2008","332940"
"Population résidente par zone","Urban","Saint-Louis","","2009","347440"
"Population résidente par zone","Urban","Saint-Louis","","2010","362572"
"Population résidente par zone","Urban","Saint-Louis","","2011","378363"
"Population résidente par zone","Urban","Saint-Louis","","2012","394841"
"Population résidente par zone","Urban","Saint-Louis","","2013","412037"
"Population résidente par zone","Urban","Saint-Louis","","2014","431921"
"Population résidente par zone","Urban","Saint-Louis","","2015","449114"
"Population résidente par zone","Urban","Saint-Louis","","2016","466940"
"Population résidente par zone","Urban","Saint-Louis","","2017","485410"
"Population résidente par zone","Urban","Saint-Louis","","2018","504535"
"Population résidente par zone","Urban","Sédhiou","","2008","63947"
"Population résidente par zone","Urban","Sédhiou","","2009","68010"
"Population résidente par zone","Urban","Sédhiou","","2010","72331"
"Population résidente par zone","Urban","Sédhiou","","2011","76927"
"Population résidente par zone","Urban","Sédhiou","","2012","81815"
"Population résidente par zone","Urban","Sédhiou","","2013","87014"
"Population résidente par zone","Urban","Sédhiou","","2014","95960"
"Population résidente par zone","Urban","Sédhiou","","2015","101591"
"Population résidente par zone","Urban","Sédhiou","","2016","107013"
"Population résidente par zone","Urban","Sédhiou","","2017","113226"
"Population résidente par zone","Urban","Sédhiou","","2018","119762"
"Population résidente par zone","Urban","Tambacounda","","1970","31345"
"Population résidente par zone","Urban","Tambacounda","","1971","32755"
"Population résidente par zone","Urban","Tambacounda","","1972","34229"
"Population résidente par zone","Urban","Tambacounda","","1973","35770"
"Population résidente par zone","Urban","Tambacounda","","1974","37379"
"Population résidente par zone","Urban","Tambacounda","","1975","39061"
"Population résidente par zone","Urban","Tambacounda","","1976","40026"
"Population résidente par zone","Urban","Tambacounda","","1977","41713"
"Population résidente par zone","Urban","Tambacounda","","1978","43165"
"Population résidente par zone","Urban","Tambacounda","","1979","44667"
"Population résidente par zone","Urban","Tambacounda","","1980","46222"
"Population résidente par zone","Urban","Tambacounda","","1981","47831"
"Population résidente par zone","Urban","Tambacounda","","1982","49496"
"Population résidente par zone","Urban","Tambacounda","","1983","51219"
"Population résidente par zone","Urban","Tambacounda","","1984","53002"
"Population résidente par zone","Urban","Tambacounda","","1985","54847"
"Population résidente par zone","Urban","Tambacounda","","1986","56756"
"Population résidente par zone","Urban","Tambacounda","","1987","58731"
"Population résidente par zone","Urban","Tambacounda","","1988","60775"
"Population résidente par zone","Urban","Tambacounda","","1989","63710"
"Population résidente par zone","Urban","Tambacounda","","1990","66132"
"Population résidente par zone","Urban","Tambacounda","","1991","68646"
"Population résidente par zone","Urban","Tambacounda","","1992","71255"
"Population résidente par zone","Urban","Tambacounda","","1993","73963"
"Population résidente par zone","Urban","Tambacounda","","1994","76774"
"Population résidente par zone","Urban","Tambacounda","","1995","79692"
"Population résidente par zone","Urban","Tambacounda","","1996","82721"
"Population résidente par zone","Urban","Tambacounda","","1997","85865"
"Population résidente par zone","Urban","Tambacounda","","1998","89129"
"Population résidente par zone","Urban","Tambacounda","","1999","92517"
"Population résidente par zone","Urban","Tambacounda","","2000","96034"
"Population résidente par zone","Urban","Tambacounda","","2001","99684"
"Population résidente par zone","Urban","Tambacounda","","2002","103473"
"Population résidente par zone","Urban","Tambacounda","","2003","108605"
"Population résidente par zone","Urban","Tambacounda","","2004","112997"
"Population résidente par zone","Urban","Tambacounda","","2005","117566"
"Population résidente par zone","Urban","Tambacounda","","2006","122320"
"Population résidente par zone","Urban","Tambacounda","","2007","127266"
"Population résidente par zone","Urban","Tambacounda","","2008","132412"
"Population résidente par zone","Urban","Tambacounda","","2009","137766"
"Population résidente par zone","Urban","Tambacounda","","2010","143337"
"Population résidente par zone","Urban","Tambacounda","","2011","149133"
"Population résidente par zone","Urban","Tambacounda","","2012","155164"
"Population résidente par zone","Urban","Tambacounda","","2013","161439"
"Population résidente par zone","Urban","Tambacounda","","2014","170706"
"Population résidente par zone","Urban","Tambacounda","","2015","178236"
