"","id","gender","height","religion","caste","mother_tongue","profession","location","country","age_of_marriage","weight"
"76",76,"female",181.61,"Hindu"," Baishya","Hindi","Not working","Gorakhpur"," India",27,69.1920091559389
"77",77,"female",175.006,"Hindu"," Agri","Marathi","Not Specified","Raigad"," India",30,67.5264667924248
"78",78,"male",191.516,"Hindu"," Sindhi-Sakkhar","Sindhi","Event Manager","Delhi"," India",27,82.9504159853818
"79",79,"female",171.704,"Sikh"," Ramdasia","Punjabi","Not working","Moga"," India",30,66.5567964199311
"80",80,"",NA,"","others","Malayalam","","Kerala"," India",24,NA
"81",81,"female",181.61,"Christian"," Roman Catholic","Konkani","Software Professional (Others)","Bengaluru / Bangalore"," India",30,76.1133819265957
"82",82,"female",181.61,"Sikh"," Khatri","Punjabi","Marketing Professional","Noida"," India",31,65.0489683746614
"83",83,"female",171.704,"Jain"," Shwetamber","Hindi","Science Professional (Others)","Delhi"," India",32,64.6804756736649
"84",84,"female",178.308,"Hindu"," OBC - Barber/Naayee","Assamese","Managers and Senior Executives","Guwahati"," India",29,68.934986252991
"85",85,"male",155.194,"Hindu"," Kaibarta","Assamese","Defense Services","Golaghat"," India",31,60.763780964282
"86",86,"male",191.516,"Hindu"," Kaibarta","Odia","Mechanical / Production Engineer","Cuttack"," India",28,85.5808838197084
"87",87,"male",161.798,"Hindu"," Patel","Gujarati","Banking Professional","Surat"," India",31,71.2208418152932
"88",88,"male",168.7322,"Hindu"," Brahmin","Telugu","Research Assistant","Bengaluru / Bangalore"," India",33,68.1272409737532
"89",89,"male",191.516,"","others","Malayalam","Electronics / Telecom Engineer","Goa"," India",29,72.9367962793142
"90",90,"male",NA,"","others","Hindi","Not Specified","Kolkata"," India",29,NA
"91",91,"male",188.214,"Hindu"," Sindhi-Sakkhar","Sindhi","Entrepreneurs / Business ","Kolkata"," India",27,82.694695286206
"92",92,"male",188.214,"Hindu"," Sindhi-Sakkhar","Sindhi","Software Professional (Others)","Maharashtra"," India",27,70.1801938766175
"93",93,"male",168.402,"Christian"," Roman Catholic","Tamil","Entrepreneurs / Business ","Coimbatore"," India",31,68.9555993870419
"94",94,"female",181.61,"Hindu"," Valmiki","Hindi","Electronics / Telecom Engineer","Delhi"," India",27,69.3168530148823
"95",95,"female",178.308,"Hindu"," Baniya","Hindi","Consultant / Supervisor / Team Leads","Delhi"," India",35,66.4830196256608
"96",96,"male",184.912,"Hindu"," Goud","Odia","Teacher","Bhadrak"," India",30,76.7042562418166
"97",97,"male",184.912,"Sikh"," Ramdasia","Punjabi","Software Professional","Patiala"," India",30,87.0792179199192
"98",98,"female",175.006,"Sikh"," Khatri","Punjabi","Not Specified","Surrey"," Canada",29,73.4993379978583
"99",99,"male",148.59,"Hindu"," Balija","Telugu","Banking Professional","Anantapur"," India",31,62.4375855450607
"100",100,"female",175.006,"Christian"," Born Again","Hindi","Nurse","Punjab"," India",31,68.2753579264491
"101",101,"female",168.402,"Hindu"," Scheduled Caste (SC)","Malayalam","Nurse","Kozhikode"," India",32,64.3109521798831
"102",102,"female",178.308,"","others","Kannada","Not Specified","Hubbali-Dharwad"," India",22,63.4273310142233
"103",103,"male",191.516,"Hindu"," Billava","Tulu","Accounting Professional (Others)","Mangaluru / Mangalore"," India",30,77.4814993559128
"104",104,"female",168.402,"Hindu"," Panchal","Gujarati","Professor","Anand"," India",30,68.1604010154511
"105",105,"male",181.61,"Hindu"," Baishnab","Bengali","Artist (Others)","Malda"," India",29,72.7442301720911
"106",106,"female",175.006,"Hindu"," Arora","Punjabi","Software Professional (Others)","Atlanta- GA"," USA",32,57.3114039341249
"107",107,"female",171.704,"Hindu"," Brahmin","Telugu","Mechanical / Production Engineer","Hyderabad"," India",28,66.5225760200865
"108",108,"female",171.704,"Hindu"," Vanniyar","Tamil","Not working","Titakudi"," India",29,75.2179558438697
"109",109,"male",181.61,"Hindu"," Sindhi-Sakkhar","Sindhi","Non IT Engineer (Others)","Delhi-NCR"," India",29,77.2884443176751
"110",110,"male",184.912,"Hindu"," Brahmin","Hindi","Mechanical / Production Engineer","West Bengal"," India",30,68.7019964946665
"111",111,"female",178.308,"Hindu"," Bhatia","Punjabi","Admin Professional","Delhi"," India",29,65.9975961484156
"112",112,"female",178.308,"Hindu"," Ahom","Assamese","Not working","Jorhat"," India",28,73.500331919525
"113",113,"male",184.912,"Hindu"," Brahmin","Telugu","Software Professional","Hyderabad"," India",33,64.2999272877275
"114",114,"female",178.308,"Hindu"," Sindhi-Sakkhar","Sindhi","Interior Designer","Bengaluru / Bangalore"," India",27,84.6557529275348
"115",115,"male",175.006,"Hindu"," Baishnab","Bengali","Civil Engineer","Kolkata"," India",29,64.7945452612036
"116",116,"female",181.61,"Hindu"," Viswabrahmin","Telugu","Not Specified","Nellore"," India",27,79.1576909081852
"117",117,"female",184.912,"Hindu"," Kayastha","Bengali","Logistics and Travel Professional","Kolkata"," India",34,76.4468563456238
"118",118,"female",181.61,"Hindu"," Vaishnav","Gujarati","Not Specified","Pune"," India",31,69.9354618308812
"119",119,"female",175.006,"Hindu"," Lingayath","Kannada","Not working","Belagavi / Belagaum"," India",30,67.5510938559882
"120",120,"female",178.308,"","others","Tamil","Finance Professional","Chennai"," India",31,73.3113926777974
"121",121,"female",165.1,"Hindu"," Brahmin","Marathi","Software Professional","Nashik"," India",28,59.7162972369647
"122",122,"male",204.724,"","others","Telugu","Consultant / Supervisor / Team Leads","Tirupati"," India",24,88.9035118961914
"123",123,"female",184.912,"Sikh"," Gursikh","Punjabi","Defense Services","Amritsar"," India",29,67.2242294572634
"124",124,"male",168.402,"","others","Kannada","Software Professional","Bengaluru / Bangalore"," India",27,63.6130497154661
"125",125,"female",NA,"","others","","","Shah Alam"," Malaysia",32,NA
"126",126,"female",184.912,"","others","Bengali","Not Specified","Kolkata"," India",24,81.2325684285456
"127",127,"male",178.308,"","","","Entrepreneurs / Business ","Ahmedabad"," India",23,75.5307374257023
"128",128,"female",171.704,"Hindu"," Viswabrahmin","Telugu","Not Specified","Hyderabad"," India",27,74.6223384879341
"129",129,"female",165.1,"","others","","Software Professional (Others)","Pune"," India",35,71.8721128977107
"130",130,"female",175.006,"Hindu"," Viswabrahmin","Telugu","Not working","Hyderabad"," India",26,67.8651153640866
"131",131,"male",201.422,"","others","Telugu","","Mysuru / Mysore"," India",31,87.0279998075537
"132",132,"female",188.214,"Hindu"," Viswabrahmin","Telugu","Artist (Others)","Bhadrachalam"," India",27,76.8457544111975
"133",133,"female",168.402,"Hindu"," Vanniyar","Tamil","Fashion Designer","Mumbai"," India",28,70.7810491794676
"134",134,"male",188.214,"","","Kannada","Defense Services",""," India",25,72.373771188722
"135",135,"male",198.12,"","others","Malayalam","Marketing Professional","Bengaluru / Bangalore"," India",33,76.3876162827246
"136",136,"female",178.308,"","others","Sindhi","",""," India",33,69.2529914141927
"137",137,"male",198.12,"Sikh"," Khatri","Punjabi","Admin Professional","Burhanpur"," India",33,73.4721320688096
"138",138,"male",168.7322,"Hindu"," Kaibarta","Odia","Banking Professional","Balangir"," India",28,70.4365244172038
"139",139,"female",148.59,"Hindu"," Baidya","Bengali","Beautician","West Bengal"," India",27,44.9895403243639
"140",140,"female",NA,"","others","","","Bengaluru / Bangalore"," India",31,NA
"141",141,"female",181.61,"Hindu"," Agarwal","Marwari","Banking Professional","Mumbai"," India",30,77.1991874042169
"142",142,"female",175.006,"Hindu"," Arora","Punjabi","Banking Professional","Sonepat"," India",33,79.4974071396277
"143",143,"female",168.402,"Hindu"," Billava","Tulu","Accounting Professional (Others)","Mangaluru / Mangalore"," India",30,85.1406018318391
"144",144,"female",191.516,"Christian"," Born Again","Tamil","Doctor / Healthcare Professional","Bengaluru / Bangalore"," India",32,76.5385935566256
"145",145,"male",181.61,"","","Hindi","",""," India",31,79.9188442155437
"146",146,"female",171.704,"Hindu"," Kayastha","Bengali","HR Professional","Bengaluru / Bangalore"," India",34,64.3660307335007
"147",147,"male",184.912,"Sikh"," Ramdasia","Punjabi","Electronics / Telecom Engineer","Jaipur"," India",31,67.483583136325
"148",148,"male",175.006,"Hindu"," Thakur","Hindi","Non IT Engineer (Others)","Ranchi"," India",30,69.4158339246176
"149",149,"male",168.402,"Hindu"," Thakur","Hindi","Artist (Others)","Indore"," India",30,61.2620565494987
"150",150,"male",194.818,"Jain"," Shwetamber","Marwari","Accounting Professional (Others)","Delhi"," India",34,77.3224040426037
"151",151,"male",191.516,"Hindu"," Vaishnav","Gujarati","HR Professional","Vadodara"," India",30,69.305329290125
"152",152,"female",135.7122,"Hindu"," Brahmin","Marathi","Software Consultant","Vadodara"," India",29,51.0052827159066
"153",153,"female",168.402,"","others","Telugu","Not working","Tadepalligudem"," India",27,56.2085158285719
"154",154,"male",168.7322,"Hindu"," Arya Vysya","Telugu","Entrepreneurs / Business ","Visakhapatnam"," India",30,66.9905489132255
"155",155,"male",181.61,"Hindu"," OBC - Barber/Naayee","Hindi","Team Member / Staff","Aurangabad"," India",26,71.1700477451468
"156",156,"female",168.402,"Hindu"," Sindhi-Sakkhar","Sindhi","Entrepreneurs / Business ","Mumbai"," India",30,60.3327682819626
"157",157,"female",148.59,"Hindu"," Patel","Hindi","Not working","Bhopal"," India",29,53.0401926331415
"158",158,"female",175.006,"","others","Bengali","Mechanical / Production Engineer","Midnapore"," India",20,67.8533272127997
"159",159,"male",175.006,"","others","Marathi","","","",25,69.700733433161
"160",160,"male",198.12,"Hindu"," Brahmin","Bengali","Medical / Healthcare Professional (Others)","Kolkata"," India",30,87.1443914313119
"161",161,"female",NA,"","","","",""," India",35,NA
"162",162,"male",198.12,"Hindu"," OBC - Barber/Naayee","Assamese","Not working","Dibrugarh"," India",26,80.0127405592808
"163",163,"female",165.1,"Hindu"," Kaibarta","Odia","Not working","Panikoili"," India",28,64.5516038497419
"164",164,"male",168.7322,"Sikh"," Gursikh","Punjabi","Consultant / Supervisor / Team Leads","Ahmedabad"," India",33,71.3407716768327
"165",165,"female",175.006,"","others","Telugu","","Hyderabad"," India",32,71.9150984139367
"166",166,"male",NA,"","others","Telugu","Entrepreneurs / Business ","Karimnagar"," India",32,NA
"167",167,"male",181.61,"Hindu"," Brahmin","Marathi","Software Professional","Pune"," India",31,78.3038397337453
"168",168,"female",175.006,"Sikh"," Gursikh","Punjabi","Beautician","Ludhiana"," India",30,76.9237684165422
"169",169,"female",178.308,"Hindu"," Baishya","Bengali","Chartered Accountant","Bengaluru / Bangalore"," India",26,69.31340123673
"170",170,"male",151.892,"Hindu"," Baishya","Assamese","Not Specified","Albertville- AL"," USA",28,67.1274307067081
"171",171,"male",175.006,"Hindu"," Bhandari","Gujarati","Not Specified","Mumbai"," India",33,65.2264500746161
"172",172,"female",168.402,"Hindu"," OBC - Barber/Naayee","Marwari","Accounting Professional (Others)","Mumbai"," India",27,77.5859894703873
"173",173,"male",178.308,"Hindu"," Scheduled Caste (SC)","Hindi","Non IT Engineer (Others)","Chandigarh"," India",32,71.0469685880105
"174",174,"male",198.12,"Hindu"," Bhatia","Punjabi","Entrepreneurs / Business ","Amritsar"," India",28,80.5572237146961
"175",175,"female",175.006,"Hindu"," Sindhi-Sakkhar","Sindhi","Software Professional (Others)","Pune"," India",29,74.0066866431545
"176",176,"male",184.912,"","","Telugu","","Suryapet"," India",24,81.6226516191577
"177",177,"male",168.402,"Hindu"," Balija","Telugu","Teacher","Adoni"," India",29,68.4418188361774
"178",178,"female",175.006,"Hindu"," Brahmin","Hindi","Team Member / Staff","Jamshedpur"," India",31,73.5516665810894
"179",179,"female",135.7122,"Hindu"," Scheduled Caste (SC)","Punjabi","Teacher","Rupnagar"," India",34,59.4428415317115
"180",180,"male",181.61,"Hindu"," Rajput - Lodhi","Hindi","Agent / Broker / Trader / Contractor","Unnao"," India",28,70.8015471917687
"181",181,"female",181.61,"","others","Tamil","Nurse","Chennai"," India",24,67.7605173500611
"182",182,"male",168.7322,"Hindu"," Sindhi-Sakkhar","Sindhi","Software Professional","Mumbai"," India",29,65.533360253313
"183",183,"female",181.61,"Hindu"," Balija","Telugu","Accounting Professional (Others)","Anantapur"," India",26,75.8263266249184
"184",184,"female",178.308,"Hindu"," Baidya","Bengali","Science Professional (Others)","Toronto"," Canada",29,68.5307623932336
"185",185,"female",168.402,"","others","Tamil","","Theni"," India",30,63.9056175373691
"186",186,"male",181.61,"","","","Accounting Professional (Others)","Gujarat"," India",28,76.2009797728987
"187",187,"female",168.402,"Hindu"," Saini","Hindi","Teacher","Faridabad"," India",27,62.9373738811486
"188",188,"male",NA,"","others","Kannada","Not working","Hubbali-Dharwad"," India",26,NA
"189",189,"female",178.308,"Christian"," Roman Catholic","Konkani","HR Professional","Mangaluru / Mangalore"," India",31,67.5913707453578
"190",190,"female",151.892,"Hindu"," Agri","Marathi","Logistics and Travel Professional","Maharashtra"," India",29,49.9041465375275
"191",191,"male",184.912,"Hindu"," Vaishnav","Gujarati","Lawyer","Mumbai"," India",30,84.2733829015004
"192",192,"male",188.214,"","others","Bengali","Not Specified","Kharagpur"," India",27,79.5623225796349
"193",193,"male",184.912,"Hindu"," Baniya","Hindi","Software Consultant","Mumbai"," India",35,70.6535012177196
"194",194,"female",184.912,"Hindu"," Thakur","Hindi","Not working","Kanpur"," India",29,70.5207372720947
"195",195,"female",191.516,"Hindu"," Rajput - Lodhi","Hindi","Managers and Senior Executives","Bengaluru / Bangalore"," India",30,77.5113399292799
"196",196,"male",165.1,"Hindu"," Thakur","Hindi","Hardware & Networking professional","Sitapur"," India",29,62.8836858193589
"197",197,"female",184.912,"","others","","Teacher","Kozhikode"," India",26,76.4946807522928
"198",198,"male",194.818,"Hindu"," Arora","Punjabi","Entrepreneurs / Business ","Faridabad"," India",36,76.1449628059002
"199",199,"male",191.516,"Hindu"," Brahmin","Odia","Medical / Healthcare Professional (Others)","Puri"," India",32,68.3583121976163
"200",200,"female",171.704,"Hindu"," Bhatia","Sindhi","Marketing Professional","Dubai"," United Arab Emirates",29,67.3909296816682
"201",201,"female",175.006,"Hindu"," Valmiki","Hindi","Not working","Delhi-NCR"," India",28,67.9885401970677
"202",202,"female",168.402,"Hindu"," Brahmin","Telugu","Not Specified","Visakhapatnam"," India",30,77.9241966750182
"203",203,"male",184.912,"Hindu"," Lingayath","Kannada","Finance Professional","Bengaluru / Bangalore"," India",32,77.8502365649389
"204",204,"female",168.402,"","others","Bengali","Not working","Kharagpur"," India",25,74.8565508994526
"205",205,"female",188.214,"Sikh"," Ramdasia","Punjabi","Teacher","Bathinda"," India",31,77.7410997948533
"206",206,"female",135.7122,"Hindu"," Arya Vysya","Assamese","Not Specified","Delhi"," India",25,62.3089466985636
"207",207,"female",168.402,"Jain"," Shwetamber","Gujarati","Marketing Professional","Mumbai"," India",34,71.1637958556895
"208",208,"male",188.214,"Hindu"," Valmiki","Hindi","Marketing Professional","Delhi"," India",28,70.0727128774543
"209",209,"female",178.308,"Sikh"," Khatri","Punjabi","Banking Professional","Delhi"," India",28,71.0595558905876
"210",210,"female",184.912,"Hindu"," Scheduled Caste (SC)","Marathi","Lawyer","Mumbai"," India",34,74.258452874926
"211",211,"female",171.704,"Hindu"," Arora","Punjabi","Fashion Designer","Faridabad"," India",33,66.3062925922681
"212",212,"male",168.7322,"","","","","Mumbai"," India",29,73.8949528501729
"213",213,"female",171.704,"Muslim"," Memon","Hindi","Not working","Hyderabad"," India",26,67.8462085694412
"214",214,"male",198.12,"Hindu"," Brahmin","Bengali","Hardware & Networking professional","Other"," Netherlands",33,74.3439296061693
"215",215,"female",165.1,"Hindu"," Kayastha","Bengali","Web / UX Designers","Bengaluru / Bangalore"," India",34,72.8240134841627
"216",216,"female",184.912,"","others","Malayalam","Admin Professional","Thiruvananthapuram"," India",30,73.4115563023315
"217",217,"male",191.516,"Hindu"," Brahmin","Marwari","Managers and Senior Executives","Mumbai"," India",30,78.5994089364398
"218",218,"male",191.516,"","","","","Palakkad"," India",24,76.2728292196389
"219",219,"male",165.1,"","others","Marathi","Agent / Broker / Trader / Contractor","Nandurbar"," India",29,74.1994574085964
"220",220,"male",184.912,"Hindu"," Brahmin","Bengali","Software Consultant","Bengaluru / Bangalore"," India",30,76.8591857808487
"221",221,"female",175.006,"Hindu"," Baishnab","Assamese","Marketing Professional","Bengaluru / Bangalore"," India",27,64.6588076986736
"222",222,"female",178.308,"Hindu"," Arya Vysya","Telugu","Non IT Engineer (Others)","Bengaluru / Bangalore"," India",25,78.4623261924042
"223",223,"male",NA,"","others","Hindi","",""," India",28,NA
"224",224,"female",175.006,"Sikh"," Kshatriya","Punjabi","Pharmacist","Ludhiana"," India",29,70.9591114093374
"225",225,"female",191.516,"Hindu"," Agarwal","Punjabi","Marketing Professional","Melbourne"," Australia",29,74.7607044322348
"226",226,"male",165.1,"","","Kannada","",""," India",28,62.2645815998981
"227",227,"male",178.308,"","others","Tamil","","Chennai"," India",31,55.8192096015122
"228",228,"male",188.214,"Hindu"," Goud","Telugu","Marketing Professional","Karimnagar"," India",29,79.1305227058066
"229",229,"female",165.1,"Hindu"," Baniya","Hindi","Entrepreneurs / Business ","Delhi"," India",35,64.9784344996263
"230",230,"male",191.516,"Hindu"," Scheduled Caste (SC)","Kannada","Managers and Senior Executives","Bengaluru / Bangalore"," India",34,78.0552631659826
"231",231,"female",178.308,"Hindu"," Sahu","Chattisgarhi","Not Specified","Janjgir"," India",28,75.2350739673122
"232",232,"female",135.382,"Hindu"," Baishnab","Bengali","Not Specified","Alipore"," India",25,53.616352357397
"233",233,"female",188.214,"","others","Telugu","","Hyderabad"," India",22,69.242578380602
"234",234,"female",191.516,"Hindu"," Baidya","Bengali","Not Specified","Kolkata"," India",26,79.3412080231244
"235",235,"female",175.006,"","others","Marwari","Chartered Accountant","Ahmedabad"," India",24,61.4910290316931
"236",236,"female",165.1,"Hindu"," Panchal","Gujarati","Not Specified","Deoghar"," India",30,61.196201800591
"237",237,"male",194.818,"Hindu"," Thakur","Hindi","Marketing Professional","Mumbai"," India",28,74.1030377496172
"238",238,"female",175.006,"Sikh"," Gursikh","Punjabi","Not working","Patiala"," India",29,64.1080862924602
"239",239,"male",194.818,"Christian"," Roman Catholic","Malayalam","HR Professional","Bengaluru / Bangalore"," India",31,81.1475906878264
"240",240,"male",194.818,"Hindu"," Viswabrahmin","Telugu","Software Professional","Hyderabad"," India",29,77.2595766755809
"241",241,"male",168.402,"","others","","",""," India",29,74.2722731907116
"242",242,"male",188.214,"","","","Sales Professional / Marketing","Ahmedabad"," India",22,71.7246897025644
"243",243,"male",188.214,"","others","Telugu","Finance Professional","Mancherial"," India",33,71.1312512781389
"244",244,"male",NA,"","","","",""," India",32,NA
"245",245,"female",165.1,"Hindu"," Lingayath","Kannada","Admin Professional","Hubbali-Dharwad"," India",29,59.6301644552774
"246",246,"male",168.7322,"Hindu"," Kalita","Assamese","Mechanical / Production Engineer","Chandigarh"," India",31,61.1866633116679
"247",247,"male",178.308,"Hindu"," OBC - Barber/Naayee","Gujarati","Mechanical / Production Engineer","Bharuch"," India",29,71.8119382164507
"248",248,"male",191.516,"Hindu"," Sindhi-Sakkhar","Sindhi","Entrepreneurs / Business ","Kanpur"," India",30,70.2588994757067
"249",249,"male",178.308,"Hindu"," Rajput - Lodhi","Hindi","Accounting Professional (Others)","Mathura"," India",28,71.1644346377671
"250",250,"male",194.818,"Jain"," Shwetamber","Gujarati","Investment Professional","Belleville- NJ"," USA",35,77.8012172991007
